customer,state,gender,education,customer_lifetime_value,income,monthly_premium_auto,number_of_open_complaints,total_claim_amount,policy_type,vehicle_class
PZ47477,Arizona,M,High School or Below,896630,41829,76,0,416,Personal Auto,Two-Door Car
LT32391,California,F,Master,1198198,21514,62,0,257,Personal Auto,Two-Door Car
KK30016,Nevada,M,Master,553262,27722,69,0,331,Personal Auto,Four-Door Car
OA89218,Nevada,F,College,1166057,21506,151,0,826,Personal Auto,Luxury
CY47265,Oregon,F,High School or Below,288645,10312,78,0,486,Personal Auto,Four-Door Car
ZI47663,Arizona,F,Bachelor,1274184,73054,106,1,419,Personal Auto,SUV
GO14008,Oregon,F,Bachelor,539809,73775,67,0,321,Personal Auto,Four-Door Car
BC43958,California,M,High School or Below,728503,44788,61,0,386,Corporate Auto,Four-Door Car
AI61368,Nevada,F,High School or Below,1765196,22510,95,0,456,Personal Auto,Four-Door Car
UF37831,Arizona,M,Master,1702989,54613,213,0,731,Personal Auto,Luxury
PO90615,Arizona,F,High School or Below,249125,25965,65,0,329,Personal Auto,Four-Door Car
GY74661,Oregon,F,College,403931,34911,105,1,126,Personal Auto,SUV
MX50302,Oregon,M,Bachelor,261933,78618,66,0,225,Special Auto,Two-Door Car
TC84427,Oregon,F,High School or Below,504968,61080,66,2,294,Personal Auto,Four-Door Car
IQ82914,Oregon,F,Master,498345,60415,62,0,72,Personal Auto,Two-Door Car
TY74870,California,F,Master,253063,25143,66,0,8,Corporate Auto,Four-Door Car
II83628,California,M,College,739671,41045,64,1,394,Personal Auto,Four-Door Car
ZR77995,California,M,College,383289,97729,95,0,97,Personal Auto,Four-Door Car
QT89604,Arizona,F,High School or Below,496140,55702,61,0,151,Personal Auto,Four-Door Car
AB21519,California,F,College,386148,93272,95,0,281,Personal Auto,Four-Door Car
MP47256,California,M,Bachelor,2265853,23665,67,0,404,Personal Auto,Four-Door Car
MA47641,Oregon,M,High School or Below,1040896,20228,101,1,523,Personal Auto,SUV
GQ20713,Nevada,F,College,483471,38713,66,4,316,Personal Auto,Four-Door Car
WW87934,Arizona,F,Bachelor,825766,23815,73,0,424,Personal Auto,Four-Door Car
HF75276,Nevada,F,High School or Below,305262,0,93,3,446,Personal Auto,Four-Door Car
ET64028,California,F,High School or Below,401231,47221,99,0,475,Personal Auto,Two-Door Car
QA41472,Oregon,M,Bachelor,1335548,34495,113,0,389,Personal Auto,SUV
OZ92426,Oregon,M,College,236443,46264,62,0,199,Corporate Auto,Four-Door Car
UM69933,Nevada,M,College,248933,46051,63,0,302,Personal Auto,Two-Door Car
RQ11502,Nevada,F,Bachelor,475572,23975,128,0,614,Corporate Auto,SUV
TX98128,California,F,College,1386438,0,74,4,580,Personal Auto,Four-Door Car
XY52165,Arizona,F,College,302042,78561,74,0,355,Personal Auto,Two-Door Car
GB39003,California,M,High School or Below,628530,0,90,0,432,Personal Auto,Two-Door Car
VH43367,California,F,High School or Below,250602,61402,63,2,302,Special Auto,Four-Door Car
KG81168,Arizona,M,Bachelor,282630,65090,71,0,73,Personal Auto,Four-Door Car
WU14549,Nevada,M,Master,436971,88495,108,0,535,Personal Auto,Two-Door Car
XB17553,Nevada,M,Bachelor,1217458,52797,104,1,88,Personal Auto,Luxury
MY88518,Nevada,M,Doctor,352804,31278,92,4,441,Personal Auto,Two-Door Car
XE18554,California,F,Bachelor,1043657,24177,92,1,441,Personal Auto,Four-Door Car
NY97446,Oregon,F,High School or Below,274612,96339,68,0,293,Corporate Auto,Four-Door Car
VT96364,California,M,Bachelor,917517,68164,119,2,222,Personal Auto,Four-Door Car
HF88410,Washington,F,High School or Below,765149,36765,66,1,320,Personal Auto,Four-Door Car
DP92488,Washington,F,Doctor,272752,74592,67,0,321,Personal Auto,Two-Door Car
VC54081,Oregon,F,College,944974,0,63,0,117,Special Auto,Four-Door Car
CE94751,California,M,College,456881,0,70,1,524,Personal Auto,Two-Door Car
VM85856,Oregon,F,Master,257402,34990,65,0,42,Personal Auto,Four-Door Car
EH37385,Arizona,F,Master,878988,22849,109,0,523,Personal Auto,Luxury
FI45719,Arizona,M,Doctor,250740,32893,63,0,174,Personal Auto,Four-Door Car
SB79528,Oregon,M,College,252241,0,73,0,350,Corporate Auto,Two-Door Car
WH81461,Nevada,M,College,754271,0,111,0,1186,Personal Auto,SUV
UD47050,Oregon,M,High School or Below,600521,26876,76,0,364,Corporate Auto,Four-Door Car
XZ17273,Nevada,M,Bachelor,2099825,71663,74,0,84,Corporate Auto,Four-Door Car
XR97812,California,M,College,234508,0,69,0,331,Personal Auto,Four-Door Car
BW88060,California,F,High School or Below,878316,16994,112,0,806,Personal Auto,SUV
CP32818,Oregon,M,Bachelor,452996,64270,117,0,46,Personal Auto,Luxury
CM52565,Nevada,F,High School or Below,603322,0,83,0,597,Corporate Auto,Four-Door Car
YP40334,Oregon,F,Doctor,530824,0,145,0,358,Personal Auto,SUV
KD63998,California,M,College,267473,56342,69,0,331,Personal Auto,Four-Door Car
VC77127,California,F,High School or Below,492980,0,70,0,837,Personal Auto,Four-Door Car
AM30008,California,M,High School or Below,1413112,28327,185,0,888,Personal Auto,Luxury
PC83755,Oregon,M,High School or Below,247152,95697,61,0,114,Personal Auto,Two-Door Car
XS22323,Arizona,M,High School or Below,600521,26876,76,0,364,Personal Auto,Four-Door Car
ST27958,Washington,M,College,438627,10621,67,0,321,Personal Auto,Four-Door Car
BH23017,Nevada,F,Bachelor,1911656,0,61,0,657,Personal Auto,Two-Door Car
OD18225,California,M,College,663166,32918,84,0,403,Personal Auto,Four-Door Car
VE31507,Oregon,F,High School or Below,743229,0,71,0,447,Personal Auto,Four-Door Car
NR18672,Nevada,M,High School or Below,292811,63127,74,1,174,Personal Auto,Two-Door Car
DM76654,California,M,College,4661187,22022,136,0,979,Personal Auto,SUV
YY11432,Oregon,F,High School or Below,1651500,51725,138,1,159,Personal Auto,SUV
GK67747,Washington,M,College,438627,10621,67,0,321,Special Auto,Four-Door Car
XA75063,Oregon,F,College,1021356,39719,131,0,628,Personal Auto,Luxury
PQ13422,Nevada,M,College,1004928,58194,84,0,450,Personal Auto,Four-Door Car
NA89685,Oregon,M,College,574614,61990,72,0,48,Personal Auto,Four-Door Car
AL35726,Oregon,F,College,374675,41479,94,1,19,Personal Auto,Two-Door Car
WO70078,Oregon,F,Bachelor,748606,97899,95,3,3,Personal Auto,Four-Door Car
CA56041,Nevada,F,College,912006,63878,113,0,370,Personal Auto,SUV
HI41970,Oregon,F,High School or Below,567804,68671,70,0,8,Special Auto,Two-Door Car
AU46443,Nevada,F,Bachelor,751708,0,102,0,1178,Personal Auto,SUV
WC35554,Oregon,M,College,453053,34640,117,2,466,Personal Auto,Luxury
JR10216,California,F,Bachelor,269138,21959,71,0,340,Corporate Auto,Four-Door Car
OH11674,Arizona,F,Bachelor,806862,51584,69,2,368,Corporate Auto,Two-Door Car
US85318,Oregon,F,Bachelor,247857,65744,62,0,166,Corporate Auto,Four-Door Car
FS19862,Arizona,F,Bachelor,911204,25198,118,0,566,Personal Auto,SUV
ZP80713,Arizona,F,Master,277244,79663,69,0,263,Personal Auto,Two-Door Car
OK50159,Arizona,F,Bachelor,430579,31071,111,2,215,Personal Auto,Luxury
TP54769,California,F,Bachelor,510335,39452,131,0,398,Corporate Auto,SUV
FS49381,Oregon,F,Bachelor,478496,25813,61,0,205,Personal Auto,Four-Door Car
DQ79499,Oregon,F,Doctor,1054110,59965,131,0,905,Personal Auto,SUV
VH31965,Washington,M,Bachelor,528511,40783,67,1,321,Personal Auto,Four-Door Car
VO25602,Nevada,F,College,761084,98701,94,0,79,Personal Auto,Four-Door Car
EP93369,Arizona,F,College,851052,0,121,0,871,Personal Auto,Luxury
DQ45854,Oregon,F,College,1617294,64388,68,0,12,Personal Auto,Four-Door Car
QG15661,Oregon,M,College,242549,66841,62,0,123,Personal Auto,Four-Door Car
YA80645,Oregon,F,High School or Below,289931,33738,74,1,304,Corporate Auto,Four-Door Car
TW16499,California,M,Bachelor,363305,43334,95,2,614,Corporate Auto,Two-Door Car
UP97629,California,F,College,345715,0,91,0,245,Personal Auto,Four-Door Car
NU42684,Nevada,F,College,339472,83431,84,0,403,Personal Auto,Four-Door Car
EM85557,Washington,F,College,802106,54292,67,0,321,Personal Auto,Four-Door Car
BM69818,Oregon,M,Bachelor,584152,0,79,0,379,Personal Auto,Four-Door Car
HK15299,California,M,High School or Below,547985,38210,69,0,383,Personal Auto,Four-Door Car
NP88496,Nevada,F,High School or Below,2045524,0,67,0,482,Personal Auto,Four-Door Car
SB99002,Oregon,F,Bachelor,831912,49734,69,0,154,Corporate Auto,Four-Door Car
ZH42145,Washington,F,High School or Below,258286,50148,65,0,323,Corporate Auto,Four-Door Car
JG30837,Oregon,M,College,416379,11689,117,0,561,Corporate Auto,SUV
AC22873,Arizona,F,High School or Below,485310,17120,125,0,717,Special Auto,SUV
RO85831,Oregon,M,High School or Below,753169,82157,188,0,1353,Corporate Auto,Luxury
NN65845,Washington,F,Bachelor,258593,21603,68,2,326,Personal Auto,Four-Door Car
RZ27571,Washington,F,Bachelor,269596,25544,68,0,326,Personal Auto,Four-Door Car
GH31557,California,M,High School or Below,268458,98121,67,0,383,Personal Auto,Two-Door Car
MK73855,Washington,F,High School or Below,810936,32314,68,0,326,Personal Auto,Four-Door Car
IO27771,Oregon,F,College,903665,89382,112,0,573,Corporate Auto,Four-Door Car
HB99061,Arizona,F,High School or Below,535218,97742,132,0,199,Corporate Auto,SUV
HQ82089,Arizona,F,High School or Below,1188096,0,114,0,820,Personal Auto,Four-Door Car
JN72184,Oregon,M,College,255709,0,73,0,525,Corporate Auto,Four-Door Car
WQ46946,California,F,College,791482,77153,99,1,355,Personal Auto,Four-Door Car
WJ44028,California,M,Master,984008,94590,81,0,388,Personal Auto,Two-Door Car
WH77063,Arizona,F,High School or Below,435155,74163,108,0,518,Personal Auto,Four-Door Car
FI13966,Oregon,F,High School or Below,2220782,40450,287,3,1377,Personal Auto,Luxury
AQ46199,Oregon,M,High School or Below,482525,0,71,0,511,Personal Auto,Two-Door Car
WV69362,Arizona,F,High School or Below,694783,0,99,0,475,Corporate Auto,Two-Door Car
RJ90816,California,F,College,334480,33243,85,0,24,Personal Auto,Four-Door Car
NH19236,Arizona,M,Master,235750,0,64,0,199,Personal Auto,Four-Door Car
VW88911,Oregon,M,High School or Below,3594471,0,114,0,820,Corporate Auto,Four-Door Car
NV14535,Nevada,M,High School or Below,1040896,20228,101,1,523,Personal Auto,SUV
BM66931,Arizona,F,High School or Below,404816,92801,100,0,407,Personal Auto,SUV
JW24035,Oregon,M,College,685200,0,69,1,406,Personal Auto,Four-Door Car
PG82270,California,M,College,290302,36845,74,0,355,Personal Auto,Four-Door Car
RW65101,California,F,College,1803911,0,63,0,503,Personal Auto,Four-Door Car
QO79771,California,F,Master,324204,72330,81,2,126,Personal Auto,Four-Door Car
EC44438,Nevada,F,Bachelor,246762,19352,65,0,724,Personal Auto,Four-Door Car
MW54213,Arizona,M,College,567438,0,62,5,297,Personal Auto,Four-Door Car
ZN33412,Arizona,F,College,863435,25073,79,0,379,Personal Auto,Four-Door Car
HZ56678,Oregon,F,High School or Below,278019,20261,72,0,345,Personal Auto,Four-Door Car
AN36757,Oregon,M,Master,2205600,66851,92,2,408,Personal Auto,Four-Door Car
NB54665,Arizona,F,High School or Below,251459,43860,65,0,156,Corporate Auto,Four-Door Car
MG99229,Oregon,M,College,588622,0,180,0,1777,Corporate Auto,Luxury
MX76292,California,F,Doctor,770603,48019,64,0,137,Corporate Auto,Four-Door Car
EJ90880,California,M,College,279045,28786,71,1,345,Personal Auto,Four-Door Car
WO95180,California,F,High School or Below,239703,22283,65,0,572,Corporate Auto,Four-Door Car
BU53191,Arizona,F,Bachelor,883432,34133,111,0,226,Personal Auto,SUV
ZK54897,Arizona,M,Master,1443567,60880,119,0,109,Personal Auto,Two-Door Car
PP48389,California,F,Bachelor,687196,0,196,2,940,Personal Auto,Luxury
XD29421,Oregon,M,High School or Below,1536235,48115,192,0,1382,Personal Auto,Luxury
OP26403,California,F,College,483479,32017,62,2,297,Personal Auto,Four-Door Car
XK15687,Oregon,F,High School or Below,1089930,58518,136,0,323,Personal Auto,SUV
ED29955,California,M,Bachelor,528404,61542,67,0,321,Personal Auto,Four-Door Car
QT84720,Oregon,F,Bachelor,289172,56761,73,1,85,Corporate Auto,Two-Door Car
ZH35315,California,M,College,490054,22976,66,0,345,Personal Auto,Four-Door Car
EE76374,Nevada,F,High School or Below,2084259,0,72,0,709,Personal Auto,Four-Door Car
SH51981,Washington,M,College,524605,70301,67,0,328,Personal Auto,Four-Door Car
BS13111,Arizona,M,Bachelor,663083,0,66,0,315,Personal Auto,Four-Door Car
JP12645,Arizona,M,Bachelor,1203662,44428,104,0,499,Personal Auto,SUV
ZF28570,Nevada,M,Bachelor,389503,52361,102,0,645,Personal Auto,Four-Door Car
UU93074,California,M,College,1170106,32435,297,0,1767,Personal Auto,Luxury
SZ60450,California,M,High School or Below,341910,40272,86,0,23,Personal Auto,Two-Door Car
HL63895,Arizona,M,Master,730277,30492,61,0,171,Personal Auto,Four-Door Car
UD27196,Arizona,M,High School or Below,1968540,51524,244,0,1171,Personal Auto,Luxury
OU53351,Arizona,M,College,248606,36635,63,0,302,Corporate Auto,Four-Door Car
SX50964,Arizona,F,Bachelor,522432,83389,65,0,209,Corporate Auto,Two-Door Car
RP30093,Oregon,F,Bachelor,4922143,63035,153,0,734,Personal Auto,SUV
BK73302,California,M,Bachelor,316788,61638,82,2,544,Corporate Auto,Four-Door Car
CS93971,Arizona,F,College,780531,21073,106,1,508,Personal Auto,SUV
RG13940,California,F,College,1319792,0,68,3,326,Personal Auto,Four-Door Car
ZG94155,Oregon,M,Bachelor,623430,0,82,0,192,Personal Auto,Two-Door Car
QN15356,Arizona,M,College,753960,0,74,0,532,Personal Auto,Four-Door Car
MZ16820,Nevada,M,High School or Below,815793,86811,102,0,489,Corporate Auto,Four-Door Car
DO98345,Oregon,M,High School or Below,1315674,72517,82,0,371,Personal Auto,Two-Door Car
PA48777,Washington,F,High School or Below,249125,25965,5353,0,329,Personal Auto,Four-Door Car
UK76814,Oregon,F,Doctor,533938,84424,66,0,231,Personal Auto,Four-Door Car
SR30440,California,F,College,864917,43383,109,0,757,Personal Auto,SUV
XE66367,Oregon,M,High School or Below,751913,96306,95,1,185,Special Auto,Four-Door Car
SZ70655,California,F,College,429300,0,61,0,292,Corporate Auto,Two-Door Car
UV54502,Washington,F,High School or Below,253774,0,69,0,331,Personal Auto,Four-Door Car
DK98861,Arizona,F,College,1316033,94125,109,0,341,Personal Auto,SUV
JX14364,Oregon,M,College,1323554,39778,112,0,806,Personal Auto,SUV
LI85491,Oregon,F,High School or Below,374457,0,101,0,727,Personal Auto,SUV
JY87538,Oregon,F,College,2848607,91871,102,0,346,Personal Auto,SUV
VE55982,Nevada,M,Bachelor,264468,54000,66,0,373,Corporate Auto,Two-Door Car
WK99918,Oregon,M,Doctor,507328,57709,125,0,600,Personal Auto,SUV
XP16538,Arizona,F,High School or Below,427258,81132,107,0,419,Corporate Auto,SUV
HW42900,California,M,College,1100301,22926,93,0,479,Corporate Auto,Four-Door Car
JG84729,Arizona,F,College,1418164,0,72,2,345,Personal Auto,Four-Door Car
XH85336,Washington,M,Bachelor,554803,67798,69,0,331,Personal Auto,Four-Door Car
ND29059,Oregon,M,Bachelor,1107768,78011,138,0,619,Personal Auto,SUV
HC76653,Oregon,M,College,243568,32931,62,0,297,Personal Auto,Four-Door Car
SG73822,California,F,Bachelor,874385,99517,109,0,239,Personal Auto,Four-Door Car
CB44654,Arizona,M,Bachelor,240976,59665,62,1,167,Personal Auto,Two-Door Car
MP53505,Washington,F,High School or Below,550001,86073,136,0,333,Corporate Auto,Luxury
YJ43481,Arizona,F,High School or Below,852828,91099,107,0,406,Corporate Auto,SUV
TP15362,Oregon,M,College,359199,28013,91,0,655,Personal Auto,Four-Door Car
YX90754,Nevada,F,High School or Below,853982,55478,71,0,339,Personal Auto,Two-Door Car
TQ32702,Nevada,F,College,699091,22568,88,0,422,Corporate Auto,Four-Door Car
TS50305,California,F,High School or Below,397938,0,112,0,806,Personal Auto,SUV
BY22068,Arizona,M,High School or Below,2395037,39335,201,0,964,Corporate Auto,Luxury
TJ48439,Oregon,F,College,232105,0,66,0,508,Personal Auto,Two-Door Car
TE61015,Oregon,M,College,508702,0,72,0,345,Personal Auto,Four-Door Car
RD89159,Oregon,M,College,436293,58842,110,0,528,Personal Auto,Four-Door Car
VW86720,Oregon,F,Bachelor,745746,0,69,0,678,Personal Auto,Four-Door Car
UM76485,Oregon,M,College,702775,0,102,0,489,Personal Auto,SUV
LS62045,Oregon,F,Bachelor,283168,70037,70,0,409,Personal Auto,Four-Door Car
ZG84862,Nevada,M,High School or Below,421785,0,62,0,446,Personal Auto,Two-Door Car
CD76093,Nevada,M,College,759629,59847,192,0,921,Corporate Auto,Luxury
FO99259,California,M,Bachelor,836567,26630,118,0,581,Personal Auto,Four-Door Car
KN87338,Oregon,F,High School or Below,272639,48039,68,0,11,Personal Auto,Four-Door Car
LT89398,California,M,High School or Below,342045,0,92,0,441,Personal Auto,Four-Door Car
NZ19529,Arizona,M,High School or Below,483910,0,137,0,1227,Personal Auto,SUV
PR41853,Arizona,F,Bachelor,435855,0,118,0,101,Corporate Auto,Luxury
ZF40671,Washington,F,Master,1242739,15818,107,0,333,Personal Auto,Two-Door Car
XR84971,Oregon,F,Doctor,2351585,36537,85,0,165,Personal Auto,Four-Door Car
BP83941,Arizona,F,Master,839632,0,115,1,552,Personal Auto,SUV
PY80449,Arizona,M,High School or Below,517097,53603,132,1,697,Personal Auto,Luxury
ET22260,Nevada,M,Doctor,558530,0,80,0,6,Corporate Auto,Four-Door Car
OF47250,California,F,Doctor,863949,92374,107,1,220,Personal Auto,SUV
WB58031,California,M,High School or Below,528183,39658,66,0,316,Corporate Auto,Four-Door Car
UV80201,Oregon,F,Bachelor,838525,0,116,0,556,Personal Auto,Luxury
PY10605,Arizona,M,Bachelor,463310,0,70,0,336,Personal Auto,Two-Door Car
JI82682,California,F,High School or Below,248039,0,65,0,328,Personal Auto,Four-Door Car
BU14748,Arizona,M,High School or Below,361868,50755,91,0,436,Personal Auto,Two-Door Car
QK18099,Washington,F,College,537584,69050,67,0,334,Personal Auto,Four-Door Car
LD26428,Oregon,M,Bachelor,489329,0,73,0,680,Corporate Auto,Four-Door Car
MY43761,California,M,High School or Below,1073768,50607,137,0,657,Personal Auto,SUV
WQ89892,Washington,F,College,260781,0,70,1,336,Special Auto,Two-Door Car
GY55415,Nevada,F,Bachelor,1572525,0,149,0,1072,Corporate Auto,SUV
IB42395,Nevada,M,College,955341,0,146,0,1051,Corporate Auto,SUV
ZU74482,Oregon,M,College,750745,60920,64,0,231,Personal Auto,Two-Door Car
NL74789,California,F,Bachelor,732492,0,105,0,504,Special Auto,Two-Door Car
YU86594,Oregon,M,High School or Below,533303,55674,66,0,81,Personal Auto,Four-Door Car
QN37451,California,M,College,1276723,0,189,0,2201,Corporate Auto,Luxury
GD83998,Washington,M,Bachelor,265933,24495,70,0,336,Personal Auto,Four-Door Car
IL83479,Oregon,F,College,348363,42983,86,0,412,Personal Auto,Four-Door Car
EF87528,Arizona,M,College,463654,26802,66,1,316,Special Auto,Two-Door Car
IV74747,California,M,Doctor,1753003,0,97,0,469,Corporate Auto,Four-Door Car
JZ81608,Oregon,M,High School or Below,697871,53808,88,0,189,Personal Auto,Four-Door Car
EO40136,Arizona,F,College,291224,93403,73,0,295,Personal Auto,Four-Door Car
ZR40902,Oregon,F,Bachelor,420927,26435,111,1,1012,Corporate Auto,Four-Door Car
PO89542,Oregon,F,Bachelor,500980,0,68,0,326,Personal Auto,Four-Door Car
FX57380,California,F,Bachelor,521751,39854,66,0,261,Personal Auto,Two-Door Car
NM22175,Oregon,M,College,1149033,0,161,0,1052,Personal Auto,SUV
BC97773,Nevada,F,Master,286454,91368,71,0,395,Personal Auto,Four-Door Car
MN34012,Arizona,M,Bachelor,840391,0,115,0,552,Personal Auto,SUV
KY29506,California,F,College,2039596,92850,104,1,499,Personal Auto,Four-Door Car
VU84949,Washington,F,Bachelor,529263,0,70,0,336,Personal Auto,Two-Door Car
HC20975,Arizona,M,Bachelor,1672777,30915,72,2,345,Personal Auto,Four-Door Car
IF87079,Arizona,F,Master,580112,48927,72,0,139,Personal Auto,Four-Door Car
EP18940,Oregon,F,Bachelor,947297,0,86,0,412,Personal Auto,Four-Door Car
SB44003,Arizona,F,College,1048491,61108,89,0,49,Personal Auto,Four-Door Car
MK15785,Nevada,M,Master,438731,48015,110,0,528,Corporate Auto,Luxury
VP89545,Arizona,M,College,452288,0,61,0,292,Personal Auto,Four-Door Car
HJ58678,Nevada,F,College,541815,57587,68,0,257,Personal Auto,Four-Door Car
MW80236,Washington,M,Master,765149,0,70,0,336,Personal Auto,Four-Door Car
IA52178,Arizona,F,College,1578529,81119,196,0,940,Corporate Auto,SUV
WC42895,California,F,Bachelor,2211039,65724,70,0,14,Personal Auto,Four-Door Car
JP41935,Washington,M,High School or Below,1359619,20128,70,2,336,Personal Auto,Four-Door Car
YM77369,Oregon,M,High School or Below,475612,56146,119,0,401,Corporate Auto,Four-Door Car
WV15213,California,M,Bachelor,244705,84658,62,0,44,Personal Auto,Four-Door Car
GX37592,Nevada,F,College,567592,33257,72,1,345,Personal Auto,Four-Door Car
VM34210,Washington,F,College,739903,0,101,0,337,Personal Auto,SUV
YJ59924,Oregon,M,College,730843,31115,92,0,441,Personal Auto,Four-Door Car
OO35641,Oregon,F,College,3287174,78487,117,0,448,Personal Auto,SUV
EU54076,Oregon,M,Bachelor,522892,92472,65,0,240,Corporate Auto,Four-Door Car
QH56750,Arizona,M,High School or Below,2070086,0,64,0,460,Personal Auto,Four-Door Car
PQ27923,Washington,M,Master,633303,71737,79,0,338,Personal Auto,Two-Door Car
ES16126,California,M,College,433038,60475,107,0,513,Personal Auto,Four-Door Car
PG42834,Arizona,F,Bachelor,629273,26577,79,0,73,Personal Auto,Four-Door Car
OY44814,Arizona,M,High School or Below,491788,0,71,0,511,Personal Auto,Two-Door Car
JI97190,California,M,High School or Below,516581,43461,64,0,307,Personal Auto,Two-Door Car
ZK61113,Oregon,M,High School or Below,629159,0,94,0,676,Personal Auto,Two-Door Car
MU88116,Oregon,F,Master,458267,69085,113,0,472,Corporate Auto,Luxury
TP61305,California,M,High School or Below,606244,0,84,0,604,Personal Auto,Four-Door Car
ZY20779,Washington,M,High School or Below,497907,0,71,0,340,Personal Auto,Two-Door Car
KP65334,California,F,College,583056,0,77,0,783,Corporate Auto,Four-Door Car
OH15677,California,M,High School or Below,374257,0,110,1,1272,Personal Auto,Luxury
HB53755,Oregon,F,High School or Below,384959,0,106,0,763,Personal Auto,Luxury
UF77079,Arizona,F,High School or Below,1526581,58361,95,0,43,Personal Auto,Four-Door Car
TD20252,Arizona,M,College,531780,74092,67,0,321,Personal Auto,Four-Door Car
TH68362,California,F,College,237480,0,64,0,380,Corporate Auto,Four-Door Car
TO34442,Washington,M,College,553286,59768,71,1,340,Personal Auto,Four-Door Car
MP96373,Washington,M,Master,571978,54585,7575,1,340,Personal Auto,Two-Door Car
CV72453,Oregon,F,High School or Below,451220,0,125,0,900,Corporate Auto,SUV
OY92520,California,F,Bachelor,726480,12075,94,0,451,Personal Auto,Four-Door Car
UY95530,California,M,College,865886,62464,109,0,400,Personal Auto,Luxury
FB84235,Oregon,M,College,549894,22520,73,0,350,Personal Auto,Four-Door Car
MJ14480,Arizona,F,High School or Below,559938,35012,72,0,345,Personal Auto,Four-Door Car
KW81128,Arizona,F,College,1522819,95140,126,0,45,Personal Auto,Luxury
DQ98402,Nevada,F,High School or Below,364483,82477,90,0,432,Corporate Auto,Two-Door Car
WN53966,California,M,Master,369344,85871,92,1,112,Personal Auto,Four-Door Car
QK69627,Washington,F,High School or Below,938816,75264,78,0,343,Personal Auto,Four-Door Car
QC55306,Washington,M,High School or Below,3116269,83170,97,0,344,Personal Auto,Four-Door Car
WV79842,California,M,High School or Below,928373,24314,235,0,1128,Personal Auto,Luxury
DF40318,Oregon,M,Master,255122,79751,63,0,392,Corporate Auto,Two-Door Car
TN90661,Nevada,M,High School or Below,581191,83318,72,0,345,Corporate Auto,Four-Door Car
ZU88029,Oregon,F,Master,406467,26161,109,0,594,Personal Auto,Luxury
TQ88221,California,F,Bachelor,284144,30473,72,0,450,Corporate Auto,Four-Door Car
KH34667,Nevada,M,College,683213,50472,87,0,281,Corporate Auto,Four-Door Car
HW54198,Nevada,M,Master,520197,94186,64,0,135,Personal Auto,Four-Door Car
GZ79662,Arizona,M,High School or Below,548458,47611,69,0,593,Corporate Auto,Four-Door Car
YA11342,California,M,High School or Below,767268,0,103,0,518,Personal Auto,Four-Door Car
ZW18871,Oregon,M,High School or Below,827248,91245,69,0,19,Corporate Auto,Four-Door Car
QZ17137,Arizona,F,High School or Below,333067,45944,83,0,182,Personal Auto,Two-Door Car
UV53712,California,F,College,556245,59649,69,1,167,Personal Auto,Four-Door Car
SJ43436,Oregon,F,Bachelor,245273,52785,61,0,45,Corporate Auto,Two-Door Car
VW46878,Oregon,F,High School or Below,792028,59648,66,0,316,Personal Auto,Four-Door Car
TW91179,Oregon,F,College,386148,93272,95,0,281,Corporate Auto,Four-Door Car
LG19551,Arizona,M,Bachelor,576478,22134,72,0,445,Corporate Auto,Four-Door Car
AI49712,Washington,F,High School or Below,259389,0,72,0,345,Personal Auto,Four-Door Car
WN14473,Arizona,M,Master,288235,87798,71,0,204,Personal Auto,Two-Door Car
WH62198,California,M,Bachelor,221318,0,63,0,305,Personal Auto,Four-Door Car
SP85148,California,F,Master,942962,43811,117,0,571,Personal Auto,Luxury
FB49203,California,F,College,623925,0,91,0,655,Corporate Auto,Two-Door Car
FF94341,Nevada,F,Bachelor,766880,92456,95,0,456,Special Auto,Four-Door Car
TS42594,California,F,High School or Below,1377097,59207,116,0,556,Personal Auto,Four-Door Car
IL43607,California,F,High School or Below,274284,64519,69,1,331,Corporate Auto,Four-Door Car
FL85008,Oregon,F,High School or Below,1346692,11432,119,0,571,Personal Auto,SUV
AN47199,Nevada,F,College,885835,0,80,0,81,Personal Auto,Two-Door Car
SV28347,California,M,High School or Below,848533,32607,111,1,532,Corporate Auto,SUV
IC78105,Arizona,F,High School or Below,774464,26444,196,0,940,Personal Auto,Luxury
RB28630,Oregon,F,High School or Below,589490,39381,74,1,355,Personal Auto,Four-Door Car
KA32645,Nevada,M,College,577068,0,83,0,946,Personal Auto,Four-Door Car
QD73891,Oregon,M,High School or Below,526111,90217,66,1,316,Personal Auto,Four-Door Car
LM58949,Oregon,M,High School or Below,240353,24248,70,3,336,Personal Auto,Four-Door Car
YG40323,Arizona,M,Bachelor,912460,99368,113,0,82,Personal Auto,Four-Door Car
EP82214,Arizona,F,High School or Below,2618080,68189,82,1,343,Special Auto,Four-Door Car
EO91797,Nevada,F,Master,1564125,32370,130,0,487,Corporate Auto,SUV
RU50098,Arizona,F,Master,257402,34990,65,0,42,Personal Auto,Four-Door Car
QW10541,California,F,High School or Below,531983,25714,67,0,321,Personal Auto,Two-Door Car
SB50826,Oregon,M,College,749600,61091,95,0,409,Personal Auto,Two-Door Car
XX29952,Arizona,M,College,1217458,88184,104,3,240,Personal Auto,Four-Door Car
AT93647,California,F,College,260557,60252,65,0,182,Personal Auto,Four-Door Car
QP56563,Oregon,M,College,270720,80985,67,0,124,Personal Auto,Four-Door Car
UF88986,Washington,F,College,279490,39783,72,0,345,Personal Auto,Two-Door Car
TY43440,California,M,High School or Below,881901,99845,110,1,528,Personal Auto,SUV
NJ15094,Washington,F,Bachelor,534599,0,72,0,345,Personal Auto,Four-Door Car
