customer,state,customer_lifetime_value,education,gender,income,monthly_premium_auto,number_of_open_complaints,policy_type,total_claim_amount,vehicle_class
KR82385,California,5454,Master,M,66334,69,0,Personal Auto,331,Two-Door Car
MC48570,Arizona,2470,Doctor,F,18661,62,0,Personal Auto,196,Two-Door Car
MP13698,Oregon,7809,College,F,0,111,0,Personal Auto,532,Two-Door Car
JE84351,Oregon,6938,Bachelor,M,53133,91,0,Personal Auto,652,Two-Door Car
BU72276,California,5318,Bachelor,F,25134,67,0,Personal Auto,321,Four-Door Car
DC78147,Arizona,13727,College,M,0,126,0,Personal Auto,604,SUV
DB17162,Arizona,5363,High School or Below,M,64324,67,0,Personal Auto,321,Four-Door Car
TG97744,Oregon,3265,Bachelor,F,25820,82,0,Corporate Auto,393,Four-Door Car
QT26393,California,2446,Bachelor,M,29152,67,0,Personal Auto,255,Two-Door Car
UG49716,Washington,4196,College,F,0,114,0,Personal Auto,1182,Luxury
HF11584,Arizona,12913,Master,M,62448,107,0,Personal Auto,513,SUV
MS87381,California,23866,High School or Below,F,0,81,1,Personal Auto,388,Four-Door Car
YU79270,Arizona,4633,College,M,27132,63,1,Personal Auto,302,Four-Door Car
HU81007,Oregon,8196,Bachelor,F,21706,108,0,Personal Auto,518,SUV
XH53960,Arizona,2167,Bachelor,F,0,61,0,Personal Auto,439,Four-Door Car
MM62953,Arizona,5619,High School or Below,M,66620,70,0,Personal Auto,336,Four-Door Car
DA74095,Arizona,6102,Bachelor,F,42800,153,1,Personal Auto,734,Luxury
QD46343,Arizona,3919,High School or Below,F,66676,97,0,Personal Auto,558,Four-Door Car
FR17176,Arizona,14944,High School or Below,F,0,68,0,Personal Auto,326,Four-Door Car
WY26014,California,10819,High School or Below,F,37433,90,0,Personal Auto,410,Four-Door Car
RY32848,Oregon,15839,Doctor,M,44930,132,0,Personal Auto,111,SUV
JG83987,Arizona,6451,Bachelor,F,30857,81,0,Personal Auto,309,Two-Door Car
MQ48266,Arizona,5564,Bachelor,F,46507,73,4,Personal Auto,325,Two-Door Car
EA68909,California,2444,Bachelor,M,48473,63,0,Personal Auto,302,Four-Door Car
KP51068,Oregon,2640,Bachelor,M,59961,68,0,Personal Auto,291,Four-Door Car
CM78608,California,5823,High School or Below,F,88359,73,0,Personal Auto,35,Two-Door Car
TZ11597,California,5755,College,M,97607,71,0,Personal Auto,60,Two-Door Car
GS76685,California,10408,High School or Below,M,20228,101,1,Corporate Auto,523,SUV
BR40272,California,8247,College,M,49009,105,0,Personal Auto,504,Four-Door Car
FX36546,Washington,3679,Master,M,60804,92,0,Personal Auto,213,Four-Door Car
FY31714,Oregon,16331,Bachelor,M,78374,82,0,Personal Auto,206,Four-Door Car
GL99349,California,20474,High School or Below,M,95621,66,5,Personal Auto,351,Two-Door Car
HH49391,Oregon,9414,High School or Below,M,15741,132,0,Special Auto,633,SUV
WG26617,Oregon,9732,Bachelor,M,38279,82,0,Personal Auto,64,Two-Door Car
JL97265,Oregon,4611,Master,M,0,61,0,Personal Auto,292,Four-Door Car
QQ25666,Arizona,14510,High School or Below,M,60120,182,0,Personal Auto,716,Luxury
VE72838,Arizona,13770,High School or Below,F,59207,116,0,Personal Auto,556,Four-Door Car
ZN27809,Oregon,8083,College,F,0,116,0,Personal Auto,820,SUV
IZ71030,California,2570,College,F,69446,64,1,Personal Auto,26,Four-Door Car
LU79958,Washington,2273,Bachelor,F,0,73,4,Personal Auto,801,Four-Door Car
KT30737,California,3995,College,M,0,119,0,Corporate Auto,856,SUV
IU32539,California,7282,Bachelor,F,50886,95,1,Personal Auto,620,Two-Door Car
UI73924,Oregon,2469,Bachelor,F,55257,64,3,Personal Auto,209,Two-Door Car
RZ89359,California,2450,College,F,61883,62,0,Personal Auto,18,Four-Door Car
CE21829,Oregon,10856,College,M,37233,136,0,Personal Auto,242,SUV
BU17847,Arizona,9075,Master,M,37722,116,0,Personal Auto,158,Luxury
XA63646,California,4654,Master,F,81883,114,0,Personal Auto,376,Four-Door Car
EA40332,Oregon,15394,Bachelor,M,35822,197,0,Personal Auto,1404,SUV
KB75939,Oregon,9421,Bachelor,F,23059,126,0,Corporate Auto,95,Luxury
PR98117,Oregon,2640,Bachelor,F,97666,66,0,Personal Auto,136,Four-Door Car
ZE62067,Arizona,8509,Master,M,26057,74,0,Corporate Auto,523,Four-Door Car
AU45793,Arizona,3436,Doctor,M,30817,88,0,Corporate Auto,91,Four-Door Car
RE29131,Oregon,4349,College,F,75648,108,0,Personal Auto,112,SUV
FZ19620,Oregon,9672,High School or Below,M,0,96,0,Corporate Auto,1120,Four-Door Car
HM93220,Arizona,15266,High School or Below,F,25852,135,1,Personal Auto,648,Luxury
BO94261,Arizona,7550,Doctor,M,0,68,1,Personal Auto,100,Four-Door Car
TC18805,Washington,9939,Bachelor,M,13207,137,2,Personal Auto,392,SUV
UQ24268,Oregon,14962,High School or Below,F,0,82,0,Personal Auto,393,Four-Door Car
NF25863,Nevada,7887,High School or Below,M,32150,98,0,Personal Auto,470,Two-Door Car
FD98839,Oregon,2894,College,M,52674,73,0,Personal Auto,166,Two-Door Car
FN99437,California,4397,College,M,91653,111,0,Corporate Auto,343,SUV
DZ35379,Arizona,5781,High School or Below,F,69512,72,0,Personal Auto,196,Two-Door Car
IA67715,California,7720,High School or Below,F,67332,192,0,Personal Auto,921,Luxury
JG61793,Washington,3046,High School or Below,M,0,98,2,Personal Auto,705,Four-Door Car
CR41258,Nevada,2590,College,M,53304,65,0,Personal Auto,116,Four-Door Car
BE75190,California,10155,College,M,28754,89,0,Corporate Auto,427,Four-Door Car
EW16697,Arizona,2552,High School or Below,F,50201,64,0,Personal Auto,99,Two-Door Car
HI60054,California,9404,Bachelor,F,51593,80,2,Personal Auto,202,Two-Door Car
MU57098,Oregon,5678,Bachelor,F,0,76,0,Personal Auto,364,Four-Door Car
WB21698,California,3723,High School or Below,F,31974,92,0,Personal Auto,388,Four-Door Car
MU75490,Oregon,8417,Bachelor,M,31756,107,0,Corporate Auto,415,SUV
UA44429,California,2520,College,F,0,68,0,Personal Auto,326,Four-Door Car
PP64004,Nevada,8186,Bachelor,F,20369,105,0,Personal Auto,1126,SUV
FI77477,Washington,4229,College,M,0,126,0,Personal Auto,907,SUV
NT40494,California,5074,High School or Below,F,66933,63,0,Personal Auto,160,Four-Door Car
YM98727,California,12981,High School or Below,F,39843,109,1,Personal Auto,523,Four-Door Car
NT77164,Arizona,2744,Doctor,M,16686,71,0,Personal Auto,125,Four-Door Car
IL91509,Oregon,13226,Bachelor,F,0,190,1,Special Auto,1398,Luxury
PS47550,California,13178,High School or Below,F,80237,108,0,Personal Auto,776,SUV
PK66498,California,8793,High School or Below,M,72897,73,0,Personal Auto,507,Two-Door Car
NG93751,California,3245,Bachelor,M,46435,82,0,Corporate Auto,350,Two-Door Car
KL84615,Arizona,4624,High School or Below,M,0,68,2,Personal Auto,469,Four-Door Car
AP27994,Oregon,4372,High School or Below,F,23124,112,0,Special Auto,537,Luxury
TP20456,Arizona,9090,High School or Below,M,45310,229,0,Personal Auto,1550,Luxury
OB21477,Oregon,10777,College,M,53437,91,0,Personal Auto,436,Two-Door Car
LH80781,Washington,5007,College,F,0,73,1,Personal Auto,655,Four-Door Car
UU70820,Arizona,5867,College,F,27880,74,0,Personal Auto,199,Four-Door Car
ER66372,California,14914,Bachelor,F,45963,63,2,Personal Auto,302,Four-Door Car
XD81935,Oregon,5107,Bachelor,F,35625,65,1,Personal Auto,288,Four-Door Car
AT30076,Nevada,3536,High School or Below,F,31727,92,0,Personal Auto,495,Four-Door Car
EW34576,Arizona,2839,High School or Below,F,53071,72,0,Corporate Auto,386,Four-Door Car
XC14741,California,2939,High School or Below,M,97735,73,0,Corporate Auto,188,Four-Door Car
PG84165,California,2776,High School or Below,M,0,77,0,Personal Auto,554,Four-Door Car
CN16311,Oregon,5476,Master,F,52218,68,0,Corporate Auto,33,Four-Door Car
TZ19823,California,3265,Bachelor,F,25820,82,0,Personal Auto,393,Four-Door Car
NC34154,California,8066,High School or Below,F,17950,71,2,Special Auto,340,Two-Door Car
LQ50657,Arizona,3644,High School or Below,F,82477,90,0,Personal Auto,432,Two-Door Car
JL16084,Arizona,6611,College,F,0,95,0,Personal Auto,564,Four-Door Car
CJ81391,Oregon,7582,College,M,64801,64,0,Personal Auto,268,Four-Door Car
WQ89892,Washington,2607,College,F,0,70,1,Special Auto,336,Two-Door Car
JW70372,Arizona,7124,Doctor,F,61233,89,2,Personal Auto,181,Four-Door Car
AW17574,Nevada,9435,Bachelor,F,0,129,0,Corporate Auto,628,SUV
GL66847,Arizona,8256,Bachelor,F,62902,69,0,Personal Auto,159,Two-Door Car
DC62428,Arizona,5091,High School or Below,M,20244,65,0,Personal Auto,312,Four-Door Car
KR54589,California,5881,High School or Below,F,86812,73,0,Personal Auto,45,Four-Door Car
BC47264,California,7684,College,F,62192,98,0,Special Auto,243,Two-Door Car
SN58128,Oregon,10396,College,F,34948,130,0,Personal Auto,443,SUV
TD97297,Oregon,8545,Bachelor,M,35456,109,0,Personal Auto,505,Luxury
TK13024,Oregon,4408,College,M,80640,111,0,Personal Auto,313,SUV
LR97507,Arizona,2562,High School or Below,M,0,74,0,Corporate Auto,663,Four-Door Car
KC14861,Oregon,14886,High School or Below,M,91193,185,1,Personal Auto,1,Luxury
DC37886,Arizona,24338,High School or Below,F,73692,67,0,Personal Auto,24,Two-Door Car
SP56326,Arizona,7452,High School or Below,F,12195,101,0,Personal Auto,670,Four-Door Car
OQ99704,Washington,3981,Bachelor,F,52801,100,0,Personal Auto,475,SUV
GQ92754,Nevada,16060,College,M,0,87,0,Personal Auto,417,Four-Door Car
DX28320,California,5111,High School or Below,F,0,72,2,Personal Auto,594,Four-Door Car
BM83544,Arizona,7439,Bachelor,F,0,108,0,Personal Auto,518,SUV
YB96664,Washington,4974,Bachelor,M,75644,65,3,Corporate Auto,467,Two-Door Car
RO90746,California,17816,High School or Below,F,60192,220,0,Personal Auto,1056,Luxury
UV46349,Oregon,6238,Bachelor,F,0,90,2,Personal Auto,134,Four-Door Car
MY32188,Oregon,2682,Bachelor,M,0,74,0,Corporate Auto,355,Two-Door Car
OV87950,California,2837,College,M,29242,73,0,Personal Auto,350,Two-Door Car
ZG82132,Oregon,4118,Bachelor,F,69379,103,0,Personal Auto,494,Two-Door Car
LZ31103,Oregon,2472,College,F,63860,62,0,Personal Auto,208,Four-Door Car
HO79663,Arizona,4139,Doctor,F,45281,104,1,Personal Auto,65,Luxury
RS57109,Arizona,4100,Bachelor,F,51193,104,2,Personal Auto,97,Two-Door Car
NA21420,Oregon,5278,Bachelor,F,62074,67,0,Corporate Auto,49,Four-Door Car
MY98825,California,8056,Bachelor,F,64304,68,0,Corporate Auto,65,Two-Door Car
VW73816,Oregon,9185,Bachelor,M,73795,116,1,Personal Auto,501,SUV
FN66189,Oregon,15417,College,F,84376,96,0,Personal Auto,43,Four-Door Car
HU75748,Arizona,6829,High School or Below,F,0,66,1,Personal Auto,470,Two-Door Car
OS11465,Oregon,8500,High School or Below,M,79153,106,0,Special Auto,508,SUV
UY61913,Oregon,8847,College,M,17950,118,0,Personal Auto,425,SUV
OD70577,Arizona,2840,College,F,0,80,1,Personal Auto,962,Two-Door Car
DC91024,Oregon,15984,Bachelor,M,0,69,0,Personal Auto,331,Two-Door Car
VQ67172,Oregon,18542,College,F,0,72,0,Corporate Auto,622,Four-Door Car
MF23895,Arizona,2609,College,F,58139,65,1,Corporate Auto,33,Four-Door Car
AA10041,California,7901,High School or Below,M,0,113,0,Personal Auto,1258,SUV
DV36320,California,17995,High School or Below,F,80991,223,0,Personal Auto,937,Luxury
UE72026,California,5021,College,F,69678,126,0,Personal Auto,306,Luxury
SE78641,Arizona,4654,Bachelor,M,0,67,0,Personal Auto,577,Two-Door Car
YC69616,Arizona,2719,College,F,14030,72,0,Personal Auto,345,Two-Door Car
SM10254,Oregon,4726,Bachelor,F,13037,124,0,Personal Auto,839,SUV
AG45299,California,8595,College,M,76763,108,0,Personal Auto,186,SUV
KS45476,Washington,15626,High School or Below,F,50461,131,0,Personal Auto,810,Luxury
No69427,California,2797,High School or Below,M,69604,70,0,Corporate Auto,112,Four-Door Car
BA52133,California,5344,Master,M,22908,68,0,Personal Auto,387,Four-Door Car
WT59944,California,17557,College,F,68273,146,0,Personal Auto,76,Luxury
XV30885,California,4595,College,M,95550,116,1,Personal Auto,381,SUV
LU79865,Nevada,5794,Bachelor,M,88370,74,1,Personal Auto,355,Four-Door Car
BL29046,Oregon,5332,Doctor,F,68931,66,0,Corporate Auto,309,Four-Door Car
AM34581,Oregon,6680,Bachelor,F,24432,87,3,Corporate Auto,71,Two-Door Car
YN75239,Oregon,7910,College,M,77577,199,1,Personal Auto,35,Luxury
OJ84485,California,12516,High School or Below,M,12607,110,0,Personal Auto,528,SUV
JA12995,Oregon,2325,College,F,0,63,0,Personal Auto,302,Four-Door Car
OD85990,Oregon,3964,Bachelor,F,23474,102,0,Corporate Auto,489,SUV
NZ57264,California,7486,Bachelor,M,0,113,0,Personal Auto,813,SUV
OL39995,Oregon,6707,Bachelor,M,0,65,0,Personal Auto,360,Four-Door Car
LK51620,California,12902,High School or Below,M,98478,106,0,Corporate Auto,508,Four-Door Car
ZB91993,Arizona,5926,College,M,23091,96,5,Personal Auto,460,Four-Door Car
SZ60342,Arizona,5148,College,M,51071,65,0,Personal Auto,312,Two-Door Car
WE80653,Oregon,6827,Bachelor,F,0,103,2,Personal Auto,2,SUV
EE28119,Arizona,4670,Bachelor,F,69921,118,2,Personal Auto,373,Two-Door Car
GA49547,Washington,5363,High School or Below,M,36357,68,0,Personal Auto,17,Four-Door Car
BA92673,Oregon,6961,High School or Below,F,0,63,0,Personal Auto,40,Four-Door Car
PT70350,Oregon,28511,High School or Below,M,27607,104,0,Corporate Auto,640,Four-Door Car
KL29678,Oregon,8624,Master,F,43610,106,0,Personal Auto,508,Luxury
HL84679,Oregon,3382,Bachelor,F,0,91,0,Personal Auto,436,Four-Door Car
GH94657,California,2319,Bachelor,M,14660,61,0,Personal Auto,396,Four-Door Car
EZ71780,Arizona,8807,High School or Below,F,26864,78,0,Special Auto,374,Four-Door Car
BW76745,Oregon,2491,Doctor,M,36631,62,0,Personal Auto,67,Four-Door Car
TN64240,California,7853,Bachelor,F,42582,99,0,Corporate Auto,629,Four-Door Car
AE23906,Arizona,9816,College,M,37256,62,0,Personal Auto,128,Four-Door Car
CX20455,Arizona,22103,College,M,0,102,0,Corporate Auto,489,SUV
KX18446,Washington,6689,High School or Below,M,56980,84,0,Corporate Auto,599,Two-Door Car
NR66922,Oregon,11323,Master,M,98254,94,3,Corporate Auto,229,Four-Door Car
PQ27923,Washington,6333,Master,M,71737,79,0,Personal Auto,338,Two-Door Car
No81415,Arizona,3139,Bachelor,M,31177,79,0,Personal Auto,905,Four-Door Car
OI48534,California,2617,High School or Below,F,98338,65,0,Personal Auto,35,Four-Door Car
FH83537,California,3732,High School or Below,F,0,106,0,Personal Auto,879,Luxury
VH94792,California,4433,Bachelor,F,0,65,0,Special Auto,312,Four-Door Car
VD37089,Washington,3478,College,M,29938,90,0,Corporate Auto,562,Four-Door Car
UW68708,California,5009,Bachelor,F,0,69,0,Personal Auto,496,Four-Door Car
PV39600,California,8417,Bachelor,M,24285,111,0,Personal Auto,1257,Two-Door Car
ZD42919,California,4483,Master,M,32983,113,0,Personal Auto,466,SUV
ZX68434,California,5124,Doctor,F,0,134,0,Personal Auto,643,SUV
CH81088,Oregon,3721,Bachelor,F,71333,93,0,Personal Auto,343,Four-Door Car
SV68939,Arizona,9988,Master,F,33157,124,0,Personal Auto,286,SUV
WI81695,Oregon,3342,College,F,0,91,0,Personal Auto,436,Four-Door Car
OU50429,California,7524,Bachelor,M,36580,64,1,Personal Auto,460,Four-Door Car
TE44937,Oregon,13466,High School or Below,F,11432,119,0,Personal Auto,571,SUV
GC29421,California,2949,High School or Below,F,78596,73,0,Personal Auto,106,Four-Door Car
RF71693,Arizona,5179,Bachelor,F,35143,65,0,Corporate Auto,171,Four-Door Car
JZ22920,Arizona,3225,Master,M,29606,81,0,Personal Auto,438,Four-Door Car
ZL68596,Arizona,8849,Master,M,53228,73,0,Special Auto,137,Four-Door Car
GV91160,Oregon,2886,High School or Below,F,10312,78,0,Personal Auto,486,Four-Door Car
PC80039,Oregon,2359,Bachelor,F,19864,63,0,Personal Auto,352,Four-Door Car
RH72839,Nevada,4669,High School or Below,F,76157,116,0,Personal Auto,556,Two-Door Car
SV15363,California,6366,High School or Below,M,44368,80,0,Personal Auto,384,Two-Door Car
CN17219,Oregon,25581,College,M,27961,72,0,Personal Auto,345,Two-Door Car
ZM84839,California,8146,College,F,92777,68,2,Personal Auto,158,Two-Door Car
ZO31878,Oregon,5412,Master,F,55992,67,0,Personal Auto,191,Four-Door Car
BU70181,Arizona,5757,Master,M,88997,72,0,Personal Auto,174,Four-Door Car
RN20799,Arizona,4755,High School or Below,F,21926,63,0,Personal Auto,302,Four-Door Car
VF58561,Oregon,4995,Bachelor,F,82413,62,0,Personal Auto,297,Four-Door Car
HU26687,California,2824,Bachelor,M,48008,73,4,Personal Auto,137,Four-Door Car
VT84289,California,5907,College,F,87796,74,0,Personal Auto,355,Four-Door Car
ZG17326,Oregon,4988,Bachelor,M,38928,64,0,Personal Auto,326,Four-Door Car
ZR84007,Arizona,7405,Bachelor,M,58779,64,1,Personal Auto,307,Four-Door Car
WM17695,Washington,16553,Doctor,F,98912,135,0,Personal Auto,714,SUV
YR76491,Oregon,15102,College,F,0,137,0,Personal Auto,32,SUV
NY93341,Arizona,9118,High School or Below,F,33882,114,0,Personal Auto,272,SUV
BC87161,Oregon,2759,Bachelor,M,92296,69,0,Personal Auto,331,Two-Door Car
PW23851,Oregon,15251,Bachelor,F,63287,127,0,Personal Auto,617,SUV
UM73815,Arizona,14517,High School or Below,F,74871,178,0,Personal Auto,854,SUV
HW19506,Arizona,5597,High School or Below,F,37995,139,0,Personal Auto,667,SUV
JF90784,California,19323,High School or Below,F,0,139,1,Personal Auto,1389,SUV
OW15518,Washington,15950,College,F,0,87,1,Personal Auto,46,Two-Door Car
BR28896,Nevada,3176,High School or Below,M,64706,81,0,Personal Auto,372,Two-Door Car
PD32943,Oregon,4526,Bachelor,M,0,64,1,Personal Auto,307,Four-Door Car
GM83516,Arizona,2573,College,M,29500,67,0,Corporate Auto,321,Four-Door Car
BK15048,Arizona,6656,College,M,0,69,1,Personal Auto,496,Four-Door Car
RA27021,Nevada,27564,Bachelor,F,26410,91,0,Corporate Auto,184,Four-Door Car
JW15941,California,3842,Master,M,97832,95,0,Personal Auto,107,Two-Door Car
GP20408,Oregon,3808,College,F,94903,94,0,Personal Auto,451,Two-Door Car
AM57175,Oregon,15000,High School or Below,F,62473,76,1,Personal Auto,507,Four-Door Car
RI40862,Nevada,5573,College,M,85704,69,0,Personal Auto,325,Four-Door Car
EY86980,Oregon,6222,Bachelor,M,74270,78,0,Corporate Auto,122,Two-Door Car
FG24850,Oregon,5096,Master,F,22886,65,0,Personal Auto,312,Four-Door Car
JB39997,California,6183,College,F,36464,78,0,Personal Auto,93,Four-Door Car
CG43444,California,9388,Bachelor,F,33599,80,0,Personal Auto,111,Four-Door Car
ZG69918,Oregon,8168,College,M,20819,73,1,Special Auto,206,Four-Door Car
GM70734,California,13561,College,F,29095,91,1,Corporate Auto,280,Two-Door Car
PM14429,California,6699,College,M,30852,88,0,Personal Auto,318,Four-Door Car
FD55376,California,20230,High School or Below,M,48448,74,1,Corporate Auto,355,Four-Door Car
PS25185,Washington,4097,Bachelor,F,20079,110,0,Corporate Auto,528,Two-Door Car
YE70791,California,5169,High School or Below,M,12430,73,0,Personal Auto,350,Four-Door Car
UN52560,Arizona,6278,Bachelor,M,47669,80,0,Personal Auto,384,Four-Door Car
SS95187,Arizona,3343,Bachelor,M,40794,87,0,Personal Auto,334,Four-Door Car
OU62959,California,15531,Bachelor,M,95340,198,2,Personal Auto,808,Luxury
ZV36800,Oregon,4236,Bachelor,M,14476,113,0,Corporate Auto,542,Luxury
XF83901,Arizona,3692,College,F,0,105,0,Personal Auto,756,Four-Door Car
RE12758,California,6782,High School or Below,M,26116,85,0,Personal Auto,612,Four-Door Car
CH97666,California,3683,Bachelor,M,12454,100,0,Personal Auto,720,Luxury
NU25698,Oregon,13995,High School or Below,F,48245,121,3,Personal Auto,580,SUV
ZV80216,Oregon,5619,High School or Below,M,0,153,0,Personal Auto,1027,SUV
PB47955,Oregon,8331,Bachelor,F,0,119,0,Personal Auto,856,SUV
BD36887,Nevada,4171,College,F,37478,105,0,Personal Auto,653,Luxury
JG65202,Oregon,7873,High School or Below,M,0,74,0,Personal Auto,568,Two-Door Car
YV76240,Oregon,10677,College,F,45732,134,0,Corporate Auto,611,SUV
LN28900,California,14687,Bachelor,M,0,85,0,Personal Auto,612,Four-Door Car
IN77241,Washington,5394,Bachelor,M,65978,67,0,Corporate Auto,251,Two-Door Car
DI42246,Arizona,2230,College,M,0,62,0,Personal Auto,325,Four-Door Car
SE86346,Nevada,7771,College,F,58467,65,0,Corporate Auto,452,Four-Door Car
FK46365,Washington,4103,College,F,82427,102,0,Personal Auto,489,SUV
XW93623,Nevada,7221,Bachelor,M,33811,184,0,Personal Auto,587,Luxury
FJ62579,Oregon,12285,High School or Below,M,0,183,2,Personal Auto,878,Luxury
ZZ22193,California,5704,Master,F,37675,71,0,Personal Auto,380,Four-Door Car
ZY77695,Arizona,2433,Bachelor,M,0,72,0,Personal Auto,345,Two-Door Car
ZJ65064,California,4921,College,F,0,70,0,Personal Auto,336,Four-Door Car
FA59186,California,4660,High School or Below,M,0,67,0,Personal Auto,482,Two-Door Car
XS74336,Washington,2541,High School or Below,F,0,71,0,Personal Auto,511,Four-Door Car
RT80802,Nevada,11658,College,M,19851,102,0,Personal Auto,220,Luxury
KN65809,Washington,11131,High School or Below,F,0,99,0,Personal Auto,475,Four-Door Car
QF17381,Arizona,4733,Bachelor,F,0,62,0,Corporate Auto,740,Four-Door Car
JF16897,Oregon,8776,High School or Below,F,28360,73,0,Personal Auto,863,Four-Door Car
PB90912,California,7804,High School or Below,M,70833,193,0,Personal Auto,926,Luxury
CH50339,Arizona,2522,Master,F,0,69,1,Corporate Auto,470,Four-Door Car
GU41198,California,9536,Bachelor,F,62421,80,2,Corporate Auto,384,Four-Door Car
CT96082,Oregon,4711,Bachelor,F,13933,62,0,Corporate Auto,49,Two-Door Car
KP26590,Nevada,3801,Bachelor,F,40513,96,1,Personal Auto,151,Four-Door Car
ZQ51896,Oregon,21159,College,M,0,108,0,Special Auto,777,SUV
BI34286,Oregon,6515,Master,M,47259,81,0,Corporate Auto,388,Four-Door Car
XJ97760,California,4739,Master,M,35039,61,0,Personal Auto,254,Four-Door Car
CO71128,California,21240,College,F,0,190,0,Personal Auto,1368,Luxury
SJ88799,Washington,3980,High School or Below,M,92539,101,0,Personal Auto,707,Four-Door Car
RC74014,Oregon,4990,College,F,0,71,0,Special Auto,849,Two-Door Car
CP66511,Oregon,2562,High School or Below,M,92038,65,2,Personal Auto,178,Two-Door Car
JG13893,Nevada,7355,Bachelor,M,51789,61,0,Corporate Auto,435,Two-Door Car
ER49844,Arizona,5041,College,M,61972,64,2,Personal Auto,138,Four-Door Car
AU91447,Oregon,12731,Doctor,M,40870,105,0,Special Auto,504,SUV
SK58227,California,8879,High School or Below,F,52583,113,0,Personal Auto,528,SUV
HG23705,Arizona,2872,Bachelor,F,79681,73,1,Personal Auto,9,Four-Door Car
MV93555,Oregon,11058,High School or Below,F,69792,137,0,Personal Auto,696,SUV
VQ20924,Arizona,7138,High School or Below,F,19794,93,0,Corporate Auto,603,Two-Door Car
AR59416,Oregon,29037,High School or Below,M,0,113,0,Personal Auto,542,SUV
DF65548,California,8613,Master,F,26680,106,0,Personal Auto,508,Two-Door Car
PA28328,California,3861,College,F,93272,95,0,Corporate Auto,281,Four-Door Car
WY31530,Oregon,2482,Doctor,M,0,68,0,Personal Auto,87,Two-Door Car
LV89056,California,3133,Bachelor,F,0,91,1,Personal Auto,655,Four-Door Car
KC49055,Oregon,7123,Bachelor,M,21835,92,0,Personal Auto,621,Two-Door Car
RA62150,Arizona,28435,College,F,0,116,0,Personal Auto,899,SUV
OY70124,Washington,12741,Bachelor,F,73054,106,1,Personal Auto,419,SUV
OT94107,Oregon,3176,Bachelor,F,35551,81,1,Personal Auto,565,Four-Door Car
CF27806,California,5470,Bachelor,F,54507,138,0,Personal Auto,702,SUV
EK50729,Oregon,4582,Bachelor,M,0,67,0,Personal Auto,321,Four-Door Car
TF53472,Oregon,5350,Bachelor,F,41336,68,0,Personal Auto,263,Four-Door Car
PG50529,California,5580,High School or Below,F,31972,70,0,Personal Auto,416,Four-Door Car
QT46509,Oregon,7048,College,M,20416,93,0,Personal Auto,446,Four-Door Car
LI72489,Nevada,15306,Bachelor,M,46338,193,0,Corporate Auto,19,SUV
MF74413,Oregon,9657,High School or Below,M,0,131,0,Personal Auto,628,SUV
SI58884,California,3985,College,M,17220,105,0,Personal Auto,504,SUV
KG53604,Oregon,9816,College,M,37256,62,0,Personal Auto,128,Four-Door Car
XB97091,Arizona,37243,High School or Below,F,53602,115,0,Personal Auto,295,Luxury
JS12902,Oregon,4122,High School or Below,F,24732,107,0,Corporate Auto,72,Luxury
LL14393,Oregon,2556,High School or Below,M,23867,65,0,Personal Auto,312,Four-Door Car
UJ71101,California,17253,High School or Below,M,0,124,0,Personal Auto,928,Luxury
ZY95807,California,36181,Bachelor,M,0,180,0,Corporate Auto,864,Luxury
GA72966,Oregon,8427,Bachelor,F,46503,215,1,Personal Auto,1032,Luxury
WS36101,Oregon,2348,High School or Below,M,0,63,0,Personal Auto,453,Four-Door Car
GY88677,Oregon,23675,Bachelor,F,46268,199,1,Personal Auto,842,Luxury
XT45580,Oregon,4089,College,F,60759,104,0,Corporate Auto,499,SUV
RY23571,California,2483,Bachelor,F,75615,65,5,Personal Auto,156,Four-Door Car
NB82190,Oregon,5278,College,M,73742,68,0,Personal Auto,27,Two-Door Car
XG14438,Arizona,13727,College,M,0,126,0,Personal Auto,604,SUV
TQ84956,California,10963,High School or Below,M,55687,276,0,Corporate Auto,1324,Luxury
FV58292,Oregon,5555,Bachelor,M,74015,72,0,Personal Auto,471,Four-Door Car
EF52334,Washington,3261,Bachelor,M,0,93,0,Personal Auto,669,Four-Door Car
ZV17267,Oregon,11029,Bachelor,F,37056,92,0,Personal Auto,441,Four-Door Car
RH71877,Arizona,4770,College,F,12964,65,0,Personal Auto,362,Two-Door Car
GS23406,California,2734,High School or Below,F,30916,70,0,Personal Auto,21,Four-Door Car
VZ66567,California,3748,Bachelor,M,0,106,0,Personal Auto,508,SUV
VP57785,Oregon,4770,College,F,12964,65,0,Personal Auto,362,Two-Door Car
NS51605,Oregon,8509,Master,M,26057,74,0,Personal Auto,523,Four-Door Car
QV48556,Arizona,5421,Master,F,29981,71,0,Corporate Auto,340,Two-Door Car
PR10005,Oregon,2916,Bachelor,M,85210,74,0,Personal Auto,100,Four-Door Car
IF80474,Washington,13363,College,M,86653,111,0,Personal Auto,277,Four-Door Car
NE73773,Oregon,3974,High School or Below,M,0,113,0,Personal Auto,542,SUV
WM72573,California,14710,College,M,22872,131,2,Personal Auto,754,SUV
NX71501,California,5936,Doctor,F,42889,74,0,Personal Auto,177,Four-Door Car
LR79755,California,2862,College,M,74034,72,0,Personal Auto,267,Four-Door Car
KC26486,Arizona,8427,Bachelor,F,46503,215,1,Personal Auto,1032,Luxury
DY22077,Arizona,8622,Bachelor,M,97361,73,0,Corporate Auto,350,Four-Door Car
UV54104,Oregon,2300,Bachelor,M,25905,63,0,Personal Auto,302,Four-Door Car
